machine_type,temperature_motor,rpm,operating_mode,hours_since_maintenance,rul_hours,failure_type,estimated_repair_cost,maintenance_ratio
CNC,49.51,860.9,idle,273.8,61.0,none,0.0,4.416129032258064
CNC,40.58,899.6,idle,273.85,60.95,none,0.0,4.420500403551251
CNC,49.7,862.7,idle,274.15,60.65,none,0.0,4.446877534468775
CNC,43.04,870.4,idle,274.55,60.25,none,0.0,4.482448979591837
CNC,41.39,881.9,idle,274.7,60.1,none,0.0,4.495908346972176
CNC,42.0,853.2,idle,275.18,59.62,none,0.0,4.539425932035632
CNC,41.71,917.6,idle,275.58,59.22,none,0.0,4.57622052474261
CNC,54.57,2932.1,normal,275.72,59.08,none,0.0,4.589214380825567
CNC,44.95,868.1,idle,275.78,59.02,none,0.0,4.594801732755747
CNC,43.12,862.9,idle,276.0,58.8,none,0.0,4.615384615384616
CNC,47.75,891.9,idle,276.42,58.38,none,0.0,4.65510272819131
CNC,40.88,872.8,idle,276.65,58.15,none,0.0,4.6770921386305995
CNC,42.71,869.7,idle,277.02,57.78,none,0.0,4.712827492344334
CNC,41.41,919.1,idle,277.35,57.45,none,0.0,4.74508126603935
CNC,41.99,899.5,idle,277.73,57.07,none,0.0,4.782676080592389
CNC,61.57,2834.8,normal,277.8,57.0,none,0.0,4.789655172413793
CNC,46.23,871.8,idle,278.03,56.77,none,0.0,4.812705556517223
CNC,47.3,883.1,idle,278.25,56.55,none,0.0,4.834926151172893
CNC,47.13,904.0,idle,278.63,56.17,none,0.0,4.873709987755816
CNC,45.23,857.5,idle,279.0,55.8,none,0.0,4.911971830985916
CNC,46.36,913.5,idle,279.32,55.48,none,0.0,4.945467422096318
CNC,44.1,855.4,idle,279.55,55.25,none,0.0,4.969777777777778
CNC,52.42,2990.0,normal,279.95,54.85,none,0.0,5.012533572068039
CNC,48.04,887.8,idle,280.42,54.38,none,0.0,5.0635608522932465
CNC,63.44,2868.4,normal,280.88,53.92,none,0.0,5.114348142753095
CNC,62.27,2953.2,normal,281.05,53.75,none,0.0,5.133333333333334
CNC,42.22,916.0,idle,281.38,53.42,none,0.0,5.170525542080117
CNC,57.78,3091.5,normal,281.75,53.05,none,0.0,5.212765957446809
CNC,53.78,2885.4,normal,282.12,52.68,none,0.0,5.25558867362146
CNC,46.1,869.5,idle,282.27,52.53,none,0.0,5.273117877825518
CNC,53.59,3095.7,normal,282.68,52.12,none,0.0,5.321536144578314
CNC,60.08,3018.5,normal,282.92,51.88,none,0.0,5.350226928895613
CNC,59.48,2827.1,normal,283.02,51.78,none,0.0,5.362258431223948
CNC,43.21,891.4,idle,283.07,51.73,none,0.0,5.368291295277831
CNC,40.17,895.2,idle,283.18,51.62,none,0.0,5.381603952869631
CNC,60.36,2841.3,normal,283.25,51.55,none,0.0,5.3901046622264515
CNC,51.7,2877.4,normal,283.52,51.28,none,0.0,5.42310635042081
CNC,71.89,3872.6,peak,284.0,50.8,none,0.0,5.482625482625483
CNC,48.97,873.7,idle,284.08,50.72,none,0.0,5.492652745552977
CNC,47.26,904.6,idle,284.25,50.55,none,0.0,5.514064015518914
CNC,51.26,2981.9,normal,284.43,50.37,none,0.0,5.53688923496204
CNC,41.01,861.3,idle,284.85,49.95,none,0.0,5.590775269872424
CNC,46.92,899.9,idle,285.15,49.65,none,0.0,5.629812438302073
CNC,43.25,909.5,idle,285.23,49.57,none,0.0,5.640300573462527
CNC,58.52,2879.6,normal,285.6,49.2,none,0.0,5.6892430278884465
CNC,49.73,894.2,idle,285.82,48.98,none,0.0,5.718687474989996
CNC,66.54,3858.6,peak,286.25,48.55,none,0.0,5.776992936427851
CNC,54.21,2853.1,normal,286.6,48.2,none,0.0,5.82520325203252
CNC,49.54,851.1,idle,286.82,47.98,none,0.0,5.855859534503879
CNC,56.42,3055.9,normal,287.0,47.8,none,0.0,5.881147540983607
CNC,64.55,3850.8,peak,287.33,47.47,none,0.0,5.927996698989065
CNC,49.36,856.8,idle,287.62,47.18,none,0.0,5.96969696969697
CNC,49.9,911.4,idle,287.93,46.87,none,0.0,6.014831836223105
CNC,69.85,3888.1,peak,288.22,46.58,none,0.0,6.057587221521649
CNC,48.1,885.8,idle,288.52,46.28,none,0.0,6.1023688663282565
CNC,71.57,4038.7,peak,288.65,46.15,none,0.0,6.121951219512195
CNC,55.07,2973.5,normal,289.05,45.75,none,0.0,6.18288770053476
